3 100 100 100
0 6 41 20 250
1 67 73 20 173
2 46 43 20 250
3 47 42 20 250
4 37 42 20 120
5 43 86 20 170
6 38 12 20 47
7 46 87 20 203
8 61 7 20 134
9 51 1 20 127
10 98 46 20 219
11 44 8 20 168
12 97 1 20 181
13 41 10 20 151
14 61 70 20 211
15 46 72 20 183
16 7 6 20 127
17 31 65 20 250
18 30 35 20 193
19 36 8 20 145
20 39 20 20 154
21 1 8 20 165
22 3 66 20 172
23 26 54 20 156
24 98 54 20 193
25 44 31 20 250
26 93 78 20 230
27 95 32 20 173
28 52 0 20 169
29 24 82 20 203
30 77 15 20 196
31 59 95 20 232
32 13 16 20 152
33 86 43 20 250
34 68 76 20 250
35 62 59 20 250
36 37 17 20 250
37 50 38 20 136
38 4 22 20 112
39 69 34 20 137
40 63 65 20 250
41 86 54 20 202
42 52 48 20 182
43 56 46 20 218
44 37 81 20 157
45 92 11 20 193
46 47 83 20 211
47 38 86 20 250
48 45 45 20 250
49 96 15 20 197
50 81 6 20 189
51 19 95 20 250
52 17 13 20 164
53 47 91 20 226
54 84 72 20 188
55 78 80 20 250
56 68 81 20 179
57 49 41 20 174
58 75 10 20 161
59 78 56 20 186
60 94 38 20 194
61 99 46 20 175
62 22 76 20 183
63 93 64 20 168
64 3 12 20 250
65 37 78 20 250
66 0 80 20 207
67 7 52 20 250
68 96 97 20 214
69 73 40 20 171
70 75 60 20 138
71 43 32 20 147
72 88 44 20 250
73 81 33 20 187
74 95 34 20 178
75 70 1 20 250
76 68 93 20 239
77 60 6 20 250
78 50 23 20 188
79 33 35 20 250
80 43 97 20 250
81 1 88 20 197
82 97 67 20 201
83 83 49 20 206
84 90 88 20 232
85 94 64 20 178
86 69 9 20 250
87 44 2 20 99
88 80 8 20 153
89 70 65 20 211
90 23 65 20 250
91 79 72 20 207
92 47 92 20 178
93 95 79 20 222
94 20 39 20 192
95 17 21 20 190
96 69 80 20 196
97 72 24 20 250
98 47 44 20 159
99 35 45 20 138
